Postcode,Suburb,Activity,YearsTrading,Aboriginal_TorresStrait,FullTime_Employees,PartTime_Employees,Casual_Employees,Impact_WFH,ComparisonTo_PreCovid,Forecast_12Months,HaveYouReduced_opening_hours,HaveYouReduced_employee_numbers,HaveYou_PermanentClosure_ShiftT,HaveYou_PermanentClosure_Shif_1,BusinessCapacity_FullOperationa,BusinessCapacity_IncreasedCapac,BusinessCapacity_other,EmployeeLocation,EmployeeLocationOther,DigitalServices_WebsiteChanges,DigitalServices_ECommerce_Onlin,DigitalServices_NewServices_Tel,DigitalServices_SocialMedia_Cam,DigitalServices_other,SupportRequired_NotSeeking,SupportRequired_FreeSkills_and_,SupportRequired_Communication_o,SupportRequired_Advocacy_forBus,SupportRequired_PrecinctMarketi,SupportRequired_PrecinctEvents_,SupportRequired_Education_on_Go,SupportRequired_waiving_Outdoor,SupportRequired_Government_Fees,SupportRequired_waiving_Governm,SupportRequired_business_suppor,SupportRequired_less_red_tape_a,SupportRequired_statutory_assis,SupportRequired_finding_employe,SupportRequired_other,AreasToStrengthen_12_18Months_s,AreasToStrengthen_12_18Months_1,AreasToStrengthen_12_18Months_c,AreasToStrengthen_12_18Months_2,AreasToStrengthen_12_18Months_a,AreasToStrengthen_12_18Months_e,AreasToStrengthen_12_18Months_d,AreasToStrengthen_12_18Months_m,AreasToStrengthen_12_18Months_p,AreasToStrengthen_12_18Months_3,AreasToStrengthen_12_18Months_4,AreasToStrengthen_12_18Months_5,AreasToStrengthen_12_18Months_b,AreasToStrengthen_12_18Months_6,AreasToStrengthen_12_18Months_r,AreasToStrengthen_12_18Months_o,PreferredFormat_BusinessEducati,PreferredFormat_BusinessEduca_1,FinancialComparison_to12Months_,FinancialComparisonForecast12Mo,AustralianEconomyForecast_12Mon,YourSustainabilityPractices_rec,YourSustainabilityPractices_gre,YourSustainabilityPractices_wat,YourSustainabilityPractices_Foo,YourSustainabilityPractices_net,YourSustainabilityPractices_non,YourSustainabilityPractices_tel,StrategiesToSupport_DiversityIn,StrategiesToSupport_Diversity_1,StrategiesToSupport_Diversity_2,StrategiesToSupport_Diversity_3,StrategiesToSupport_Diversity_4,StrategiesToSupport_Diversity_5,StrategiesToSupport_Diversity_6,StrategiesToSupport_Diversity_7,StrategiesToSupport_Aboriginal_,StrategiesToSupport_Aboriginal1,StrategiesToSupport_Aborigina_1,ContinuityPlan_Manage_FutureRis,industry_code,industry_description_cbi_sector,cbi_industry_sector,cbi_sub_sector,ObjectId
2000,Sydney,Cafe,> 10,Yes,3,,,X,Increased,Decrease > 50%,,,,,,Yes,,Split between locations (hybrid),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,310
2009,Pyrmont,Online Gifting Retailer,1 to 5,No,6,,18,"We supply to corporate customers where they celebrate monthly birthdays or provide donuts and snacks for their staff. With people working form home, our corporate sales have reduced.",Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,New,,,,Yes,Yes,Yes,Yes,Yes,,,,,,Yes,Yes,,Yes,Yes,Yes,,,,,,Yes,,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Worse off,,,,,,Yes,,Yes,,,,,,Yes,,,No,,Yes,4279H,Gift Shop,Retail and Personal Services,Other,311
2000,Barangaroo,Online Training,> 10,No,20,8,,Inability to build a work culture. Mentoring junior staff is very difficult. Encouraging people back when others sit at home creates tensions.,Remained the same,Increase,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,No change,No change,No change,,,,,,,,,,,,,Yes,,,,Yes,,,,,,Yes,,Yes,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,Yes,,,,,,Yes,Yes,Yes,,,,,,,No,,Yes,8219,"Adult, Community and Other Education n.e.c.",Higher Education and Research,HEandR - Education,312
2000,Sydney,Online Wine Store,< 1,No,,2,,We have setup our business to target people working from home but so far our sales have been slow.,Remained the same,Increase,Yes,Yes,,,,,,Split between locations (hybrid),,New,New,No change,New,,,,,,,,,,Yes,,Yes,,,,,,,Yes,,,,,,,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Better off,,,,,,Yes,,,,,,,,Yes,,,No,,No,4123,Liquor Retailing,Food and Drink,Food and Drink Specialised,313
2000,Sydney,Optical Retailer,> 10,No,3,2,,Overall reduction in revenue A massive decrease in the eye consultation operation of our business.,Remained the same,Remain the same,Yes,,,,,,,Business premises,,No change,No change,Improved/expanded,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,,,,Yes,Yes,,,Yes,,Yes,,,,,Yes,,,,1:1 mentoring,,Worse off,Better off,Better off,Yes,Yes,,,,,,,Yes,,,,,,,,No,,Yes,4259C,Optometry Retailing,Retail and Personal Services,Other,314
2000,Sydney,Optical Retailer,> 10,No,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4259C,Optometry Retailing,Retail and Personal Services,Other,315
2000,Barangaroo,Cafe,6 to 10,No,2,2,5,Need more people back in the city and we need more international workers- Aussies donâ€™t even apply for roles and donâ€™t seem to want to work.,Remained the same,Remain the same,,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,,,Yes,Yes,,,,,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,Other (please describe),N/a,Worse off,Worse off,Worse off,Yes,,,Yes,,,,,Yes,,,,,,,Yes,,,Yes,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,316
2000,Sydney,Legal Services,1 to 5,No,1,1,,More flexibility due to family needs and studies,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,No change,Improved/expanded,No change,No change,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,Yes,,,,In-person events,,Worse off,Worse off,Worse off,,,,,,Yes,,,,Yes,,,,,,,No,,Don't know,6931,Legal Services,Professional and Business Services,PBS - Legal Services,317
2010,Surry Hills,Optometrist Eyewear Sales,> 10,No,5,1,,Lower foot traffic/walk in customers and downturn in business and turnover.,Remained the same,Remain the same,,,,,Yes,,,Business premises,,New,New,No change,New,,Yes,,,,,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,"Soft plastic recycling, PPE recycling, paper recycling, plastic, glass recycling.",,Yes,Yes,,,,,,,No,,No,4259C,Optometry Retailing,Retail and Personal Services,Other,318
2000,Sydney,Orthodontist,> 10,No,,,1,Had to close down,Significantly decreased (more than 50% decline),Decrease,Yes,,,,,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,Yes,,,,,,,,,,,,,,,,,Yes,,,,Online webinars or live streaming,,Worse off,Worse off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,8531,Dental Services,Health,Health - Medical and Dental Services,319
2000,Dawes Point,Cafe,> 10,No,4,3,3,"Dont come into the city, less customers  Those customers would come a few times a day to purchase goods  Less retailers open to attract customers into the area   Residents in mixed residential / commercial areas that are working from home are complaining to Council / Strata about normal business practices, people flow  and ambience. Normal  businesses operations but now they want silence  and forcing retail in the area to close down",Decreased,Decrease,Yes,Yes,,,,,,Business premises,,Improved/expanded,Improved/expanded,New,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,,,,Yes,,,,,,Yes,,,,,,Yes,Yes,,,Yes,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Worse off,Worse off,Yes,,,Yes,,,,,Yes,,,,Yes,,,,No,,No,4511A,Cafes,Food and Drink,Food and Drink Cafes and Restaurants,320
2000,The Rocks,Restaurant,6 to 10,No,15,3,5,Slower trade - our location in the CBD means that we do not have access to the take away trade,Significantly decreased (more than 50% decline),Increase,Yes,Yes,,,,,,Business premises,,New,No change,Improved/expanded,Improved/expanded,,,,Yes,,Yes,Yes,,,,,,,,Yes,"Open air venue, need more support fighting Seagulls as well as the Weather elements ( more coverage for outdoor areas )",,Yes,Yes,,,,,,Yes,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Better off,Yes,Yes,,,,,,Yes,Yes,,Yes,,,,,,No,,Don't know,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,321
2000,Sydney,Packaged Liquor,> 10,No,5,,1,We have had a dramatic decrease in the walk in traffic since covid lockdowns started. In the last few months this has improved slightly,Decreased,Remain the same,Yes,,,,,,,Business premises,,Temporary,No change,No change,No change,We will rebuild our website when we are generating enough cashflow,,,,Yes,,,,,,,,,,,,,Yes,Yes,,,Yes,Yes,,Yes,,,,,,,Expand our offering with a small bar licence,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Worse off,Yes,,,,,,Most of our packaging is recycled,,Yes,,,,,,,,No,,No,4123,Liquor Retailing,Food and Drink,Food and Drink Specialised,322
2010,Surry Hills,Pub,> 10,No,7,,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,323
2000,Sydney,Paymentech,6 to 10,No,2,,,Nil to improved productivity and teamwork,Decreased,Increase,,,,Yes,,,,Split between locations (hybrid),,New,New,New,Improved/expanded,,,,,,Yes,,,,,,Yes,,,Yes,,,,Yes,,,,,,Yes,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Better off,Worse off,Yes,,,Yes,,,,,,,,,,,People who have the skills we require are treated equally as much of our work can be done remotely and online,Yes,,Our payments partners include indigenous and gay and lesbian and women support groups and companies,Yes,7000,Computer System Design and Related Services,ICT,ICT - Services,324
2010,Darlinghurst,Peak Body RTO,> 10,No,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,325
2000,Sydney,Restaurant,1 to 5,No,25,10,6,Devastating,Significantly decreased (more than 50% decline),Remain the same,Yes,Yes,Yes,,,,,Business premises,,Improved/expanded,No change,No change,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,Yes,,Yes,Yes,Yes,Yes,Huge shortage of staff and corporates working from home.,Yes,Yes,Yes,,Yes,,,,Yes,Yes,Yes,,Yes,,Yes,,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,Yes,Yes,,,,Yes,Yes,Yes,,,Yes,,,,No,We tried employing them but do not want to work. Not many available,No,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,326
2000,Barangaroo,Restaurant,6 to 10,No,20,,40,"Since we are operating several restaurants,  people working from home do not help us at all.",Significantly decreased (more than 50% decline),Decrease,Yes,Yes,,,,,,Business premises,,Temporary,No change,No change,New,,,,,,Yes,,,,Yes,,Yes,,,Yes,,,Yes,,,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Worse off,Yes,Yes,Yes,Yes,,,,,,,,,,Yes,,,No,,Don't know,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,327
2010,Darlinghurst,Peak Body RTO,> 10,No,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,328
2000,Sydney,Performing Arts,> 10,No,22,,80,"Reduced connection across our team with loss of some established communication. Reduced audience attendance, with knock-on effects on ancillary revenue.",Increased,Increase,,,,,Yes,,,Other (please describe),"Most required at business premises, some roles hybrid, all affected by isolation of self or family members.",Improved/expanded,No change,No change,Improved/expanded,,,,Yes,Yes,Yes,Yes,,,,,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,Yes,Yes,Yes,Yes,,"Recruitment and retention, team building & professional development",Online webinars or live streaming,,Better off,Better off,Better off,Yes,,Yes,,,,,,,,Yes,Yes,,,"Developing Accessibility, Sustainability and Diversity Action Plans; Provided Diversity and Inclusion Training",Yes,,We have registered our first RAP,Yes,9001,Performing Arts Operation,Creative Industries,Creative Recreation,329
2000,Sydney,Performing Arts Theatre,< 1,No,17,,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9003,Performing Arts Venue Operation,Creative Industries,Creative Recreation,330
2000,Sydney,Personal Care Manufacturer,6 to 10,No,1,1,1,"A lack of staff to contribute to the physical tasks. Leading to an inability to keep up with all aspects of the business, orders dried up.",Significantly decreased (more than 50% decline),Don't know,,,,Yes,,,"Without adequate staff to assist in the business,",Business premises,,Temporary,Temporary,No change,Temporary,,,,Yes,,,,Yes,,,,Yes,Yes,,Yes,,Yes,,Yes,,,,Yes,Yes,,,,,Yes,,,,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,,,,,,,Yes,,Yes,,Yes,,,Yes,,,Don't know,1841,Human Pharmaceutical and Medicinal Product Manufacturing,Life Science (Bio-tech),Life Science - Manufacturing,331
2010,Surry Hills,Personal Training,> 10,No,0,0,1,Cost of living increases have made people more hesitant to pay regularly,Remained the same,Remain the same,Yes,,,,,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,Temporary,Improved/expanded,,,,,Yes,,,,,,,,,,,,,,Yes,,,,Yes,Yes,,,,,,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,Don't know,9539,Other Personal Services n.e.c.,Social Capital,Personal Services,332
2010,Darlinghurst,Personal Training Studio,6 to 10,No,1,,,Drop in revenue by over 60%,Significantly decreased (more than 50% decline),Remain the same,,,,,Yes,,,Business premises,,No change,Temporary,Temporary,No change,,,,Yes,,,,,,Yes,,Yes,,Yes,,,,Yes,,,,,,,,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,No,9539,Other Personal Services n.e.c.,Social Capital,Personal Services,333
2000,Sydney,Philanthropy,> 10,No,5,1,,Decline in communication,Remained the same,Remain the same,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9559,Other Interest Group Services n.e.c.,Social Capital,Interest Groups,334
2000,Sydney,Photo Frame Retail Store,> 10,No,,3,,Our revenue has been massively effected by people working from home. We are about 30% down on our pre-covid revenue,Decreased,Remain the same,Yes,,,,,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,Yes,,,,We need more workers back in the city,,,,,,,,,,,,,,,,None of the above,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,,,,,,,,,,,,Yes,,,No,,No,4279D,Photographic Chemicals/Supplies/Films Retailing,Retail and Personal Services,Camera,335
2064,,Photography,> 10,No,1,0,0,Lack of business,Remained the same,Remain the same,,,,,Yes,Yes,,Other (please describe),Home,Improved/expanded,No change,No change,Improved/expanded,,,Yes,,,,,,,,,,Yes,,,,Yes,Yes,,Yes,Yes,Yes,Yes,,Yes,,,,,,,,In-person events,,Better off,Better off,Better off,,,,,,Yes,,,,,,,,Yes,,,No,,No,6991,Professional Photographic Services,Creative Industries,Creative Business,336
2000,Sydney,Photography,> 10,No,1,0,0,Frustrating @ times,Remained the same,Remain the same,,,,,Yes,,,Fully remote,,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,Yes,,,,,,,,,,,,,,Yes,,,,,Yes,,,,,,Yes,,,,In-person events,,Worse off,Better off,Worse off,,,,,,,Keeping things natural.,,,Yes,,,,Yes,,,No,,Yes,6991,Professional Photographic Services,Creative Industries,Creative Business,337
2050,Camperdown,Photography and Art,1 to 5,No,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6991,Professional Photographic Services,Creative Industries,Creative Business,338
2021,Paddington,Physical Health Well Being,1 to 5,No,,7,,loss of business,Decreased,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,,Yes,,,,,,,,,,,,Yes,,,,,Yes,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,,,,,,Yes,,Yes,Yes,,,,,,,,No,,No,9539,Other Personal Services n.e.c.,Social Capital,Personal Services,339
2042,Newtown,Physiotherapy and Gym,1 to 5,No,1,1,1,Decreased gym membership and later hours.,Remained the same,Increase,,Yes,,,,,"We have not yet opened a physical space due to fear about further lockdowns, so itâ€™s all online or subletting",Split between locations (hybrid),,Improved/expanded,Improved/expanded,Improved/expanded,Temporary,,,,Yes,Yes,Yes,Yes,Yes,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,Yes,,Yes,,,,Yes,Yes,,,Yes,,,,Online webinars or live streaming,,Better off,Better off,Worse off,Yes,,,,,,,,Yes,Yes,,,,,,,No,,No,9111,Health and Fitness Centres and Gymnasia Operation,"Tourist, Cultural and Leisure",Sports Services,340
2015,Alexandria,Podcast Studio,6 to 10,No,1,1,1,People are unable to record in our studio.,Remained the same,Remain the same,,,,,Yes,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5700,Internet Publishing and Broadcasting,ICT,ICT - Services,341
2000,Sydney,Political Party,> 10,No,7,2,,Nil,Remained the same,Remain the same,,,,,Yes,,,Split between locations (hybrid),,Improved/expanded,Improved/expanded,New,Improved/expanded,,,Yes,,Yes,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Better off,Worse off,Worse off,Yes,Yes,,Yes,,,,,,,,,,Yes,,,No,,Yes,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,342
2007,Ultimo,Print Retailer,> 10,No,1,2,,less demand for services,Decreased,Remain the same,Yes,,,,,,,Business premises,,Improved/expanded,No change,Improved/expanded,No change,,,,Yes,Yes,,,,,,,Yes,,,,Should offer free 15 minute parking in Mountain street for customers who wish to pick up their orders,Yes,,,,,,,,Yes,,,,Yes,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,,,Yes,,,,,,,No,,Yes,1611A,Print Shop - Retail,Retail and Personal Services,Personal Services,343
2000,Sydney,Printing,> 10,No,5,,,transport delivery,Decreased,Decrease,,Yes,,,,,,Business premises,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1611A,Print Shop - Retail,Retail and Personal Services,Personal Services,344
2007,Ultimo,Printing,> 10,No,1,2,,less demand for business printing,Decreased,Remain the same,Yes,Yes,,,,,,Business premises,,New,No change,Improved/expanded,No change,,,,Yes,Yes,,,,,Yes,,Yes,,,,,Yes,Yes,Yes,,,,,,,,,,Yes,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,No,1611A,Print Shop - Retail,Retail and Personal Services,Personal Services,345
2015,Alexandria,Printing,6 to 10,No,3,0,0,Less customer,Remained the same,Remain the same,,,,,Yes,,,Business premises,,Improved/expanded,New,No change,Improved/expanded,,,,,Yes,Yes,,,,Yes,,,,,,,Yes,Yes,Yes,,,,,,Yes,,,,,,,,In-person events,,Worse off,Better off,Better off,Yes,,,,,,,,,,,,,Yes,,,No,,Don't know,1611A,Print Shop - Retail,Retail and Personal Services,Personal Services,346
2000,Sydney,Procurement Support Advisory,> 10,No,40,5,,"In a business sense the impacts have been low, in a productivity sense, very high. The economy has seen a significant downturn in our revenue stream but some growth in new categories, like supply of PPE",Decreased,Increase,,,,,,,Structured WFH x 2 days per week and 3 x days in the office,Business premises,,Improved/expanded,Improved/expanded,Improved/expanded,Improved/expanded,,,,,,,,Yes,,,,Yes,Yes,,,,,Yes,Yes,,,Yes,,,Yes,Yes,,Yes,,,,ES&G Program Development,In-person events,,Worse off,Better off,Worse off,Yes,Yes,,Yes,Yes,,Our business has embarked on development of an integrated ES&G Plan to holistically better our business and the services we deliver to our Members,Yes,Yes,Yes,,,,,,Yes,,We have a national inclusion agreement with the First Australians Chamber of Commerce & Industry and have included indigenous groups in all of tender processes,Yes,6419,Other Auxiliary Finance and Investment Services,Finance and Financial Services,Financial Services,347
2000,Sydney,Product Design,> 10,No,1,,,public transport inconsistencies,Decreased,Remain the same,,,Yes,,,,,Split between locations (hybrid),,New,Improved/expanded,Improved/expanded,New,,,,,,,,,,,,Yes,,,,,,,Yes,,,,Yes,,Yes,Yes,,,Yes,,,,In-person events,,Better off,Better off,Better off,,,,,Yes,,circular design led ventures,Yes,,,,,,,,,No,,Yes,6924,Other Specialised Design Services,Creative Industries,Creative Business,348
2000,Sydney,Chartered Accountant,> 10,No,1,0,3,Increased productivity,Decreased,Increase,,,,,Yes,,,Split between locations (hybrid),,No change,No change,No change,No change,,,,Yes,Yes,,,,,Yes,,Yes,Yes,Yes,Yes,,Yes,Yes,,Yes,,,,,,,,,,,,,Online webinars or live streaming,,Better off,Better off,Better off,Yes,Yes,,,,,,,,,,,,Yes,,,No,,No,6932,Accounting Services,Finance and Financial Services,Financial Services,349
2008,Chippendale,Professional Association,> 10,No,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9551,Business and Professional Association Services,Professional and Business Services,PBS - Interest Groups,350
2000,Haymarket,Bar,1 to 5,No,4,,,,Decreased,Remain the same,,Yes,,,,,,Business premises,,,,New,Improved/expanded,,,,,Yes,Yes,Yes,,,,,,,,,,,,,,,,,Yes,Yes,Yes,Yes,,,,,,"Digital resources (checklist, guidelines, toolkits)",,Worse off,Better off,Better off,,,,,,Yes,,,,Yes,,,,,,,,,Don't know,4520,"Pubs, Taverns and Bars","Tourist, Cultural and Leisure",Pubs & Clubs,351
2010,Surry Hills,Barbering Hairdressing,6 to 10,No,0,0,0,Less clients,Significantly decreased (more than 50% decline),Decrease,,Yes,,,,,,Business premises,,No change,No change,No change,No change,,,,,,,,,,,,,,,Yes,,Yes,,,,,,,,,,,,,,,,Online webinars or live streaming,,Worse off,Better off,Better off,,,,,,,,,,,,,,,,,,,,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,352
2000,Sydney,Barristers,> 10,No,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6931,Legal Services,Professional and Business Services,PBS - Legal Services,353
2015,Alexandria,Bathroom Distributor,1 to 5,No,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3332,Plumbing Goods Wholesaling,Transport and Logistics,Basic Material Wholesaling,354
2000,Sydney,Beauty,< 1,No,1,1,1,"Significant, we are a service based industry so the it limits the days and times we can make sales and service clients",Significantly decreased (more than 50% decline),Remain the same,Yes,Yes,,,,,,Business premises,,Improved/expanded,No change,New,No change,,,,,,Yes,Yes,,,,,Yes,,Yes,Yes,,Yes,Yes,Yes,,,,,,,,,,,,,,1:1 mentoring,,Worse off,Worse off,Worse off,,,,,,Yes,,,,,,,,Yes,,,No,,Yes,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,355
2010,Surry Hills,Beauty Salon,1 to 5,No,2,2,,No visiting the city anymore,Decreased,Increase,,Yes,,,,,,Fully remote,,No change,No change,No change,Temporary,,,,,,Yes,,,,Yes,,Yes,,,,,,,,,,,Yes,,,,,,,,,,In-person events,,Worse off,Better off,Better off,,,,,,Yes,,Yes,,,,,,,,,No,,No,9511,Hairdressing and Beauty Services,Retail and Personal Services,Personal Services,356
2000,Barangaroo,Restaurant,> 10,No,12,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4511B,Restaurants,Food and Drink,Food and Drink Cafes and Restaurants,357
2010,Surry Hills,Book Publisher,> 10,No,2,,2,N/A,Remained the same,Remain the same,Yes,,,,,,,Business premises,,New,No change,No change,Improved/expanded,,,,,,,,,,Yes,,,Yes,,Yes,,Yes,Yes,Yes,,,Yes,,,,,,,,,,,1:1 mentoring,,Worse off,Worse off,Worse off,Yes,,Yes,,,,,,,,,,,Yes,,,No,,Don't know,5413,Book Publishing,Creative Industries,Creative Print and Media,358
